Rendement total,Rendement annualisé,Volatilité annualisée,Ratio de Sharpe,Drawdown maximal,strategie,ticker
-402.17%,-28.29%,26.96%,-1.05,-429.35%,Bandes Bollinger,MC.PA
239.75%,16.87%,27.08%,0.62,-43.28%,Sentiment Trump,MC.PA
-542.78%,-38.19%,26.91%,-1.42,-551.07%,Mean Reversion,MC.PA
31.56%,2.22%,24.97%,0.09,-75.71%,SMA,MC.PA
1061.76%,74.70%,26.63%,2.80,-23.35%,Momentum,MC.PA
-405.07%,-28.50%,34.11%,-0.84,-430.06%,Bandes Bollinger,AIR.PA
140.68%,9.90%,34.24%,0.29,-104.13%,Sentiment Trump,AIR.PA
-627.09%,-44.12%,34.07%,-1.29,-634.32%,Mean Reversion,AIR.PA
-44.28%,-3.12%,31.88%,-0.10,-143.22%,SMA,AIR.PA
1167.37%,82.13%,33.80%,2.43,-38.75%,Momentum,AIR.PA
-264.27%,-18.59%,19.71%,-0.94,-282.79%,Bandes Bollinger,BN.PA
39.93%,2.81%,19.79%,0.14,-52.54%,Sentiment Trump,BN.PA
-396.09%,-27.87%,19.68%,-1.42,-402.91%,Mean Reversion,BN.PA
-84.93%,-5.98%,18.97%,-0.32,-92.83%,SMA,BN.PA
737.58%,51.89%,19.44%,2.67,-27.86%,Momentum,BN.PA
-347.14%,-24.42%,22.26%,-1.10,-350.49%,Bandes Bollinger,SAN.PA
35.34%,2.49%,22.43%,0.11,-83.41%,Sentiment Trump,SAN.PA
-419.41%,-29.51%,22.30%,-1.32,-425.23%,Mean Reversion,SAN.PA
24.42%,1.72%,21.88%,0.08,-40.69%,SMA,SAN.PA
838.52%,58.99%,22.02%,2.68,-22.71%,Momentum,SAN.PA
-416.62%,-29.52%,26.48%,-1.11,-417.35%,Bandes Bollinger,BAS.DE
73.35%,5.20%,26.68%,0.19,-83.59%,Sentiment Trump,BAS.DE
-579.27%,-41.05%,26.46%,-1.55,-586.23%,Mean Reversion,BAS.DE
-102.36%,-7.25%,24.86%,-0.29,-118.78%,SMA,BAS.DE
1048.73%,74.32%,26.15%,2.84,-21.70%,Momentum,BAS.DE
-420.73%,-29.82%,34.29%,-0.87,-429.88%,Bandes Bollinger,VOW3.DE
134.15%,9.51%,34.52%,0.28,-75.50%,Sentiment Trump,VOW3.DE
-708.11%,-50.18%,34.22%,-1.47,-711.76%,Mean Reversion,VOW3.DE
-1.12%,-0.08%,32.08%,-0.00,-154.73%,SMA,VOW3.DE
1259.47%,89.25%,33.91%,2.63,-32.02%,Momentum,VOW3.DE
-138.85%,-9.94%,15.36%,-0.65,-142.74%,Bandes Bollinger,NESN.SW
66.19%,4.74%,15.48%,0.31,-25.11%,Sentiment Trump,NESN.SW
-270.95%,-19.40%,15.37%,-1.26,-274.61%,Mean Reversion,NESN.SW
-65.49%,-4.69%,14.81%,-0.32,-82.61%,SMA,NESN.SW
617.66%,44.22%,15.18%,2.91,-11.61%,Momentum,NESN.SW
-506.54%,-35.63%,31.15%,-1.14,-510.04%,Bandes Bollinger,ASML.AS
235.64%,16.57%,31.32%,0.53,-77.66%,Sentiment Trump,ASML.AS
-764.59%,-53.78%,31.07%,-1.73,-773.62%,Mean Reversion,ASML.AS
141.41%,9.95%,30.39%,0.33,-66.49%,SMA,ASML.AS
1258.10%,88.48%,30.75%,2.88,-29.22%,Momentum,ASML.AS
-336.66%,-23.68%,30.79%,-0.77,-372.61%,Bandes Bollinger,CS.PA
109.70%,7.72%,30.88%,0.25,-78.20%,Sentiment Trump,CS.PA
-555.21%,-39.06%,30.75%,-1.27,-560.97%,Mean Reversion,CS.PA
-87.46%,-6.15%,29.08%,-0.21,-149.14%,SMA,CS.PA
1036.83%,72.94%,30.35%,2.40,-27.50%,Momentum,CS.PA
